zip_code,community_area1,community_area2,community_area3,community_area4,community_area5,community_area6,community_area7,community_area8,community_area9
60601,32,,,,,,,,
60602,32,,,,,,,,
60603,32,,,,,,,,
60604,32,,,,,,,,
60605,32,33,,,,,,,
60606,32,28,,,,,,,
60607,32,28,33,,,,,,
60608,60,31,39,28,29,30,,,
60609,34,60,35,37,36,38,39,61,40
60610,8,28,,,,,,,
60611,8,,,,,,,,
60612,28,24,,,,,,,
60613,6,5,3,,,,,,
60614,7,22,,,,,,,
60615,38,41,39,40,,,,,
60616,34,60,35,31,33,,,,
60617,45,48,52,46,51,,,,
60618,21,16,5,,,,,,
60619,45,47,48,44,69,49,50,53,
60620,71,72,44,69,49,73,,,
60621,68,69,40,,,,,,
60622,23,22,8,24,,,,,
60623,29,30,,,,,,,
60624,27,23,29,51,,,,,
60625,14,22,13,,,,,,
60626,1,,,,,,,,
60627,54,,,,,,,,
60628,50,49,48,53,,,,,
60629,66,64,36,56,62,65,65,,
60630,14,12,16,11,15,,,,
60631,9,10,,,,,,,
60632,57,58,36,56,62,,,,
60633,55,30,,,,,,,
60634,19,17,18,15,,,,,
60635,25,19,17,18,,,,,
60636,66,36,67,,,,,,
60637,69,41,40,38,77,,,,
60638,64,56,,,,,,,
60639,25,19,20,23,22,,,,
60640,77,13,3,,,,,,
60641,21,19,20,16,15,,,,
60642,72,,,,,,,,
60643,72,75,73,53,,,,,
60644,25,,,,,,,,
60645,2,,,,,,,,
60646,12,11,13,10,,,,,
60647,20,23,22,24,,,,,
60649,43,,,,,,,,
60651,25,23,,,,,,,
60652,70,,,,,,,,
60653,35,38,39,36,,,,,
60655,72,75,74,,,,,,
60656,76,,,,,,,,
60657,6,5,,,,,,,
60659,13,2,,,,,,,
60660,77,,,,,,,,
60661,32,28,,,,,,,
60664,28,,,,,,,,
60666,76,,,,,,,,
60680,28,,,,,,,,
60681,28,,,,,,,,
